chapter_designation,chapter_location,chapter_founding
Zeta Gamma,"Kent State University",1949
Zeta Eta,"Tufts University",1950
Zeta Zeta,"Florida State University",1950
Zeta Iota,"San Jose State University",1951
Zeta Kappa,"California State University, Fresno",1951
Zeta Lambda,"University of Tulsa",1951
Zeta Mu,"Ohio University",1951
Zeta Theta,"Presbyterian College",1951
Zeta Nu,"Montana State University-Bozeman",1952
Zeta Omicron,"University of North Texas",1952
Zeta Xi,"University of California, Davis",1952
Zeta Pi,"Texas Tech University",1953
Zeta Rho,"University of Rhode Island",1954
Zeta Sigma,"Gettysburg College",1954
Zeta Tau,"Ripon College",1954
Zeta Phi,"Bradley University",1955
Zeta Upsilon,"Arizona State University",1955
Zeta Chi,"University of Houston",1956
Zeta Psi,"Lamar University",1957
Eta Alpha,"Davidson College",1958
Eta Beta,"East Carolina University",1959
Eta Delta,"West Texas A&M University",1959
Eta Gamma,"Georgia State University",1959
Eta Epsilon,"Kentucky Wesleyan College",1960
Eta Eta,"Idaho State University",1961
Eta Zeta,"Louisiana Tech University",1961
Eta Iota,"Northern Arizona University",1962
Eta Theta,"North Dakota State University",1962
Eta Kappa,"San Diego State University",1963
Eta Lambda,"University of Cincinnati",1963
Eta Mu (A),"Kettering University",1963
Eta Mu (B),"Kettering University",1963
Eta Nu,"University of Louisiana at Lafayette",1963
Eta Xi,"University of Arkansas at Little Rock",1963
Eta Omicron,"Wofford College",1964
Eta Pi,"Hampden-Sydney College",1965
Eta Rho,"Western Kentucky University",1965
Eta Phi,"California State University, Los Angeles",1966
Eta Sigma,"Eastern New Mexico University",1966
Eta Tau,"Texas State University",1966
Eta Upsilon,"Midwestern State University",1966
Eta Chi,"Old Dominion University",1967
Eta Psi,"Ashland University",1967
Theta Alpha,"University of South Florida",1967
Theta Beta,"University of South Dakota",1968
Theta Gamma,"University of Southern Mississippi",1968
Theta Delta,"Murray State University",1969
Theta Epsilon,"Johns Hopkins University",1969
Theta Eta,"Northern Illinois University",1970
Theta Iota,"Middle Tennessee State University",1970
Theta Kappa,"Georgia Southern University",1970
Theta Lambda,"Eastern Washington University",1970
Theta Mu,"University of South Alabama",1970
Theta Theta,"Eastern Kentucky University",1970
Theta Zeta,"Clemson University",1970
Theta Nu,"Ball State University",1971
Theta Xi,"Virginia Polytechnic Institute & State University",1971
Theta Omicron,"Weber State University",1972
Theta Pi,"University of West Georgia",1972
Theta Rho,"Illinois State University",1972
Theta Sigma,"Missouri State University",1972
Theta Chi,"East Tennessee State University",1973
Theta Phi,"Lander University",1973
Theta Psi,"Armstrong Atlantic State University",1973
Theta Tau,"Morehead State University",1973
Theta Upsilon,"New Mexico State University",1973
Iota Alpha,"Indiana University of Pennsylvania",1974
Iota Beta,"Virginia Wesleyan College",1974
Iota Delta,"James Madison University",1974
Iota Epsilon,"Missouri Southern State University",1974
Iota Eta,"University of Nebraska-Omaha",1974
Iota Gamma,"Mississippi State University",1974
Iota Iota,"Valley City State University",1974
Iota Theta,"Southern Methodist University",1974
Iota Zeta,"Vincennes University",1974
Iota Kappa,"California State University, Chico",1975
Iota Lambda,"Jacksonville State University",1975
Iota Mu,"University of Nevada, Las Vegas",1975
Iota Nu,"University of Southern Maine",1975
Iota Omicron,"University of Texas at Arlington",1976
Iota Pi,"Kennesaw State University",1976
Iota Rho,"College of Charleston",1976
Iota Xi,"Salisbury University",1976
Iota Sigma,"University of New Hampshire",1977
Iota Tau,"Creighton University",1977
Iota Upsilon,"California State University, Northridge",1978
Iota Phi,"Wittenberg University",1980
Iota Chi,"University of North Carolina at Charlotte",1982
Iota Psi,"Indiana State University",1982
Kappa Alpha,"Western Illinois University",1982
Kappa Beta,"University of Western Ontario",1982
Kappa Delta,"Duquesne University",1982
Kappa Gamma,"California State Polytechnic University, Pomona",1982
Kappa Epsilon,"Appalachian State University",1983
Kappa Eta,"University of California, Santa Barbara",1983
Kappa Zeta,"Villanova University",1983
Kappa Iota,"University of Dayton",1984
Kappa Kappa,"Radford University",1984
Kappa Lambda,"University of Akron",1984
Kappa Mu,"Austin Peay State University",1984
Kappa Nu,"University of Central Missouri",1984
Kappa Theta,"Jacksonville University",1984
Kappa Omicron,"Marshall University",1985
Kappa Phi,"Western Carolina University",1985
Kappa Pi,"California Polytechnic State University, San Luis Obispo",1985
Kappa Rho,"University of California, San Diego",1985
Kappa Sigma,"Texas A&M University",1985
Kappa Tau,"State University of New York - Binghamton",1985
Kappa Upsilon,"University of North Carolina at Greensboro",1985
Kappa Xi,"Winthrop University",1985
Kappa Chi,"Furman University",1986
Kappa Psi,"University of Louisiana at Monroe",1986
Lambda Alpha,"Wake Forest University",1986
Lambda Beta,"George Mason University",1986
Lambda Delta,"Minnesota State University, Mankato",1986
Lambda Gamma,"Eastern Illinois University",1986
Lambda Epsilon,"Texas Christian University",1987
Lambda Eta,"University of Rochester",1987
Lambda Iota,"Southern Utah University",1987
Lambda Kappa,"University at Albany, State University of New York",1987
Lambda Lambda,"Nicholls State University",1987
Lambda Theta,"Birmingham-Southern College",1987
Lambda Zeta,"State University of New York at Geneseo",1987
Lambda Mu,"Wichita State University",1988
Lambda Nu,"Western Michigan University",1988
Lambda Xi,"State University of New York, College at Oneonta",1988
Lambda Omicron,"University of California, Irvine",1989
Lambda Pi,"Eastern Michigan University",1989
Lambda Rho,"Seton Hall University",1989
Lambda Sigma,"University at Buffalo, The State University of New York",1989
Lambda Tau,"Slippery Rock University",1989
Lambda Upsilon,"California State University, Fullerton",1989
Lambda Phi,"University of Central Arkansas",1990
Lambda Chi,"California State University, San Bernardino",1991
Lambda Psi,"University of Toledo",1991
Mu Alpha,"Baylor University",1991
Mu Beta,"The University of Alabama in Huntsville",1991
Mu Delta,"Temple University",1992
Mu Epsilon,"Coastal Carolina University",1992
Mu Gamma,"University of North Carolina Wilmington",1992
Mu Zeta,"Rochester Institute of Technology",1992
Mu Eta,"University of North Carolina at Asheville",1993
Mu Theta,"University of Texas at San Antonio",1993
Mu Iota,"University of Hartford",1994
Mu Kappa,"Southeast Missouri State University",1994
Mu Lambda,"Southern Illinois University Carbondale",1995
Mu Mu,"Sam Houston State University",1996
Mu Nu,"Valdosta State University",1996
Mu Omicron,"Pepperdine University",1996
Mu Pi,"Philadelphia University",1996
Mu Xi,"Columbus State University",1996
Mu Rho,"Northwestern State University",1997
Mu Sigma,"McKendree University",1999
Mu Tau,"University of Central Oklahoma",2002
Mu Chi,"Lynchburg College",2003
Mu Phi,"Longwood University",2003
Mu Upsilon,"Stephen F. Austin State University",2003
Mu Psi,"University of Central Florida",2005
Nu Alpha,"University of Arkansas at Fort Smith",2008
Nu Beta,"Huntingdon College",2010
Nu Gamma,"Pennsylvania College of Technology",2011
